unit,year,area_mn_perc,area_max,edge_density,patch_density
batha,2015,0,0,0,0
batha,2017,-1.9023506685278,-3.24486486054631,0.42380368640183,1.79771768016257
batha,2020,-10.7853687476563,-4.61509138077244,2.12619686578538,10.3642332343286
maquis,2015,0,0,0,0
maquis,2017,-3.04541039280991,-0.867137695816544,-0.135993952868737,2.27557649204119
maquis,2020,-12.1865553232078,-15.8055156443986,-1.24433912702302,9.76332484899138
coastal_sands,2015,0,0,0,0
coastal_sands,2017,-3.33561476638228,-0.0018723085564484,0.0185895428929236,2.9810298102981
coastal_sands,2020,-19.1496127155204,-1.58210073020035,2.69548371947402,20.1445347786811
negev_highlands,2015,0,0,0,0
negev_highlands,2017,-32.7513999624594,-0.58582025883422,2.42721820106272,47.979797979798
negev_highlands,2020,-40.6176351222054,-0.840025310033253,4.84588327114494,67.1717171717172
inland_sands,2015,0,0,0,0
inland_sands,2017,-24.160510164619,-0.92727373088285,0.34393593251825,30.8823529411765
inland_sands,2020,-52.9920137855411,-2.45701800031134,5.86197374036602,108.823529411765
conifer_forest,2015,0,0,0,0
conifer_forest,2017,-1.22236668359731,-0.147346263719744,2.73528048215113,1.06951871657754
conifer_forest,2020,-5.178259669481,-0.279657194406858,19.005441280531,4.27807486631015
desert_med_trans,2015,0,0,0,0
desert_med_trans,2017,-16.7858122751314,-40.9645157991615,0.146641528118979,13.5540838852097
desert_med_trans,2020,-20.721537659579,-41.0508231925555,-0.16106082494701,17.1743929359824
loess,2015,0,0,0,0
loess,2017,-5.00521875193011,-1.50020225470021,0.712165580987666,4.42359249329759
loess,2020,-12.3616695840718,-1.85546703248386,0.692244865435565,12.3324396782842
arid_south,2015,0,0,0,0
arid_south,2017,-20.0999226492104,-0.140758994578611,6.23368981220899,25
arid_south,2020,-37.1556280573506,-1.34243469689502,9.16696515376351,58.1967213114754
average,2015,0,0,0,0
average,2017,-12.0342895905186,-5.37553246297738,1.43392564594153,14.4404077776179
average,2020,-23.4609200738459,-7.75868146467302,4.77653210494782,34.2498853597261
