unit,year,area_mn,area_max,edge_density,patch_density
batha,2015,0,0,0,0
maquis,2015,0,0,0,0
coastal_sands,2015,0,0,0,0
negev_highlands,2015,0,0,0,0
inland_sands,2015,0,0,0,0
conifer_forest,2015,0,0,0,0
desert_med_trans,2015,0,0,0,0
loess,2015,0,0,0,0
arid_south,2015,0,0,0,0
arid_south,2017,-53.5678766028941,-0.00114845430810918,1.68118034562108,114.705882352941
loess,2017,-14.6718719013196,0.00689169550691471,3.38085887475454,16.8269230769231
negev_highlands,2017,-7.67740414282647,-0.0672432820881438,1.93091989325815,8.28313253012049
coastal_sands,2017,-3.2834935368575,-0.00165617754223102,-0.539161272651248,2.94550810014728
desert_med_trans,2017,-2.81185028378307,-1.72801495080822,0.563675832127361,2.82971197574533
batha,2017,-2.52259214691419,-0.0698166286782135,0.294401396588165,2.56154357950766
maquis,2017,-2.15442179295143,-1.53351091883807,-0.591141252602176,2.1186943620178
conifer_forest,2017,-1.25839298991301,-0.260586319218246,1.94147906410752,1.17004680187207
inland_sands,2017,-0.679966056901201,-0.0461625787448576,-1.27871761142893,0.621118012422351
inland_sands,2020,-65.3826355934314,-3.31317613882804,17.0332527761632,188.198757763975
arid_south,2020,-52.0531106186106,-0.0223310559909757,13.2969363353337,108.235294117647
negev_highlands,2020,-37.9824603276034,-0.933898827092377,12.122375509793,60.9939759036145
loess,2020,-37.4307991061816,-0.637631653857095,9.54921881669939,58.4134615384615
desert_med_trans,2020,-26.7296315377031,-5.64117388045403,8.44717800289437,35.7756442647802
maquis,2020,-18.3072376447027,-1.57623825832682,3.75038326851389,21.1394658753709
batha,2020,-13.8132892370844,-0.0875274646296601,4.13463599889743,15.7019294743846
coastal_sands,2020,-12.6313504646534,-0.715468698244441,1.78615191661741,12.739322533137
conifer_forest,2020,-7.43521421025112,-0.260586319218246,22.3795563913933,7.17628705148206
average,2015,0,0,0,0
average,2017,-9.84754105048451,-0.411249734968798,0.820388363308274,16.8958400879664
average,2020,-30.1961920822468,-1.46533692184908,10.277743224034,56.4860153914281
