unit,year,p_area_mn,p_area_sd,p_total_area_km2,p_number,edge_density_km_km2,p_density_n_km2,unit_total_area_km2
batha,2015,0.848703068794964,7.92989121526228,1887.515625,2224,2.7242932854215,1.07091372559642,2076.73125
maquis,2015,0.206205755339196,2.39822298038331,3282.795625,15920,5.19586851440049,3.45974702773068,4601.4925
coastal_sands,2015,0.147540716612378,1.43238856319514,181.18,1228,4.65214958839215,3.5689633876089,344.0775
negev_highlands,2015,7.29908165171898,79.2559587105122,4883.085625,669,0.770243138419618,0.133352136848395,5016.7925
inland_sands,2015,6.46085648148148,70.8460065727514,1046.65875,162,0.738127752165284,0.150557708270044,1075.999375
conifer_forest,2015,0.120682882414152,0.523730211438283,463.905,3844,2.1461589736963,7.86897662618139,488.500625
desert_med_trans,2015,0.776912385844749,8.0680112123906,1701.438125,2190,3.30101070711034,1.12315035983122,1949.8725
loess,2015,0.735885416666667,10.4274426621563,317.9025,432,2.81664969036475,1.0798177807495,400.0675
arid_south,2015,3.856774375,59.1827442438971,3856.774375,1000,0.625505941115248,0.252773078656031,3956.1175
batha,2017,0.796177589852008,7.43333571408154,1882.96,2365,2.74888722361163,1.1388088853577,2076.73125
maquis,2017,0.196462707720919,2.31249018194853,3274.836875,16669,5.22280542671753,3.62252030183685,4601.4925
coastal_sands,2017,0.140595238095238,1.40042192587221,180.1025,1281,4.63274988919647,3.72299845238355,344.0775
negev_highlands,2017,6.75071058091286,76.2387933659754,4880.76375,723,0.784869017405045,0.144115986459476,5016.7925
inland_sands,2017,6.49890916149068,71.0557369521964,1046.324375,161,0.735804330741363,0.149628339700476,1075.999375
conifer_forest,2017,0.119349079082947,0.520728157431107,463.313125,3882,2.18172699369627,7.94676567711659,488.500625
desert_med_trans,2017,0.732718023255814,7.78242850249686,1701.37125,2322,3.37837473988684,1.19084709384844,1949.8725
loess,2017,0.619787181996086,9.58851330791961,316.71125,511,2.88532560130478,1.27728445824767,400.0675
arid_south,2017,2.83926945058997,50.8315015391965,3850.049375,1356,0.670480591135122,0.342760294657578,3956.1175
batha,2020,0.748105616302187,7.26938754103075,1881.485625,2515,2.82262088558642,1.21103777872077,2076.73125
maquis,2020,0.166843364677236,2.10649916005463,3220.410625,19302,5.4095546173334,4.19472595033025,4601.4925
coastal_sands,2020,0.132374067164179,1.25003612853841,177.38125,1340,4.80574870487027,3.89447144901948,344.0775
negev_highlands,2020,4.66251913875598,72.001036878698,4872.3325,1045,0.858701052515128,0.208300423029256,5016.7925
inland_sands,2020,2.34172471910112,41.3978708487759,1042.0675,445,0.855739344644136,0.413569013457838,1075.999375
conifer_forest,2020,0.112841621588394,0.490821312473734,458.926875,4067,2.55020144549457,8.32547553035372,488.500625
desert_med_trans,2020,0.476817487929566,6.07506965150702,1678.874375,3521,3.65018738404691,1.8057590945049,1949.8725
loess,2020,0.505436093247588,8.59371186535152,314.38125,622,3.02061527117299,1.55473763802358,400.0675
arid_south,2020,2.34652074435631,46.2032423319325,3845.9475,1639,0.755709353930969,0.414295075917235,3956.1175
