unit,year,p_area_mn,p_area_sd,p_area_tot_km2,p_area_max_km2,p_num,edge_density_km_km2,p_density_n_km2,unit_area_tot_km2,p_contig_area_tot_km2,p_contig_prop,p_contig_num,p_contig_area_mn,p_contig_area_md,p_contig_density_n_km2,p_contig_edge_dens_km_km2,p_core_tot_km2,p_core_num
batha,2015,0.10923356382192,6.85143011802826,1477.05625,773.4675,13522,4.04173567794532,6.03566575414158,2240.349375,1074.57875,0.727513762593672,4,268.6446875,108.698125,0.00372238888959976,3.54087590137065,1020.60125,1816
maquis,2015,0.0317379678436852,0.978399798409351,1499.238125,122.438125,47238,5.08268017998035,10.6443540383404,4437.845625,1049.7125,0.700163958277142,128,8.20087890625,2.644375,0.121938149731474,7.96108458268335,650.136875,4094
coastal_sands,2015,0.056088645943098,0.752159836717543,159.684375,31.46625,2847,7.43586432428598,8.2850288553703,343.631875,111.81375,0.700217225386015,19,5.88493421052632,3.223125,0.169925434036512,13.6892824004203,65.024375,375
negev_highlands,2015,1.02650471030277,68.3663472761,4712.683125,4632.2875,4591,1.86441142510875,0.915132931978474,5016.7575,4632.2875,0.982940583343379,1,4632.2875,4632.2875,0.000215876065550767,1.7295234805698,4318.403125,916
inland_sands,2015,1.80108288770054,37.1936352462992,1010.4075,874.293125,561,0.925558345808144,0.52141514020874,1075.918125,874.293125,0.865287643846666,1,874.293125,874.293125,0.00114378115463278,0.79732984289451,944.5025,267
conifer_forest,2015,0.0677505638824214,0.438186798264955,465.581875,19.295,6872,2.0973363015276,14.0671937770272,488.5125,326.048125,0.700302444118986,277,1.1770690433213,0.56625,0.849567836036475,12.6455258713725,112.509375,2626
desert_med_trans,2015,0.0434444742861103,1.3932594722904,626.816875,114.615625,14428,4.71265277836988,7.39945579792531,1949.873125,440.221875,0.702313375018821,17,25.8954044117647,11.301875,0.0386168906304349,9.20649388447587,297.91125,1782
loess,2015,0.0942316632231405,3.48496248360346,228.040625,170.796875,2420,6.27381629350047,6.04897923475414,400.0675,170.796875,0.748975648527538,1,170.796875,170.796875,0.00585490805964688,7.1511847040527,146.394375,289
arid_south,2015,2.05002489235737,87.9303224857934,3808.94625,3790.203125,1858,0.988025224522103,0.469669668720787,3955.971875,3790.203125,0.995079183645608,1,3790.203125,3790.203125,0.000263838102344449,1.02107983988325,3594.95125,328
batha,2017,0.107241938708739,6.7914289738153,1475.005625,773.34875,13754,4.05886470274307,6.13922103109476,2240.349375,1073.60125,0.727862478490548,4,268.4003125,108.534375,0.00372577807635749,3.55644146278705,1018.20125,1808
maquis,2017,0.0308166639028233,0.962053764788607,1486.6575,122.26,48242,5.07576804229192,10.8705899385583,4437.845625,1040.683125,0.700015386866175,129,8.06731104651163,2.74125,0.123957040237392,7.93632547851682,644.86625,4031
coastal_sands,2017,0.0547004043358569,0.743464367300124,158.959375,31.465625,2906,7.437246617474,8.45672421977734,343.631875,111.55625,0.701790945013467,19,5.87138157894737,3.223125,0.170317664855174,13.6917474368312,64.756875,377
negev_highlands,2017,0.877417329279701,62.4634460308411,4689.795625,4566.474375,5345,1.90966475856168,1.06542921398931,5016.7575,4566.474375,0.973704344525674,1,4566.474375,4566.474375,0.000218987323234459,1.7472560546231,4293.945,846
inland_sands,2017,1.56953931924883,34.5176406712665,1002.935625,865.855625,639,0.9287416735358,0.59391136291156,1075.918125,865.855625,0.863321237591894,1,865.855625,865.855625,0.00115492695447928,0.760519399524603,937.986875,269
conifer_forest,2017,0.0670720598845599,0.435956317045746,464.809375,19.27125,6930,2.15470433202835,14.1859215475551,488.5125,325.600625,0.700503566650307,278,1.17122526978417,0.560625,0.853806714898044,12.6633663556389,112.114375,2616
desert_med_trans,2017,0.037432771914302,1.13989032453941,592.29875,83.513125,15823,4.71956348441902,8.11488696219658,1949.873125,417.073125,0.704160062806143,24,17.378046875,7.860625,0.0575438659587572,9.32462382945437,279.338125,1575
loess,2017,0.0893401954976303,3.37611212171345,226.209375,169.259375,2532,6.31849625375718,6.32893199272623,400.0675,169.259375,0.748242087667675,1,169.259375,169.259375,0.0059080922400901,7.13490759374481,144.95875,286
arid_south,2017,1.48080527442585,74.4380436792707,3804.18875,3772.918125,2569,1.04961565228519,0.64939794345732,3955.971875,3772.918125,0.991779949141588,1,3772.918125,3772.918125,0.00026504683294711,1.01980744678895,3585.7875,317
batha,2020,0.0989606015242243,1.93337521474146,1454.325,88.4525,14696,4.12767093525312,6.55969116424085,2240.349375,1022.739375,0.703239905110618,26,39.3361298076923,33.75125,0.0254219213961524,3.4507813879758,992.415625,1820
maquis,2020,0.0286799904735442,0.638727523440247,1445.07,68.408125,50386,5.01943440179941,11.3537072394221,4437.845625,1011.834375,0.70019748178289,163,6.20757285276074,2.540625,0.161093558419578,7.90213319250001,626.086875,3926
coastal_sands,2020,0.0485791183839649,0.575824849636715,155.113125,17.790625,3193,7.63629683654929,9.29192031443533,343.631875,109.735625,0.707455445823814,22,4.98798295454546,2.9159375,0.200481839876521,13.6541802172266,62.86375,350
negev_highlands,2020,0.825534674430916,25.7182182537351,4678.305,1279.934375,5667,1.95475862646341,1.12961409834938,5016.7575,3469.621875,0.741640802598377,4,867.40546875,946.151875,0.00115286337938482,1.13751588564676,4276.39,891
inland_sands,2020,1.09355429988975,28.2270654144202,991.85375,843.303125,907,0.979814332991184,0.843000948608427,1075.918125,843.303125,0.850229305479765,1,843.303125,843.303125,0.00118581322700541,0.645200976813646,928.77125,255
